Order_ID,Order_Date,Customer_ID,Segment,Region,State,City,Product_ID,Quantity,Unit_Price,Discount_Percent,Unit_Cost,Total_sales,Total_cost,Profit,Shipping_Cost,Marketing_Cost,Payment_Mode,Sales_Channel,Order_Status,Salesperson,Production_City,Customer_Rating,Return_Reason
ORD000013,2025-06-02,C0655,Consumer,South,Karnataka,Mysuru,P004,10,10401.69,0,10662.23,104016.9,110525.32,-6508.42,540,3363.02,Credit Card,Online,Delivered,Mehul,Pune,3,
ORD000014,2021-05-26,C0430,Home Office,South,Tamil Nadu,Chennai,P006,6,7024.32,5,4948.46,40038.624,31333.22,8705.404,270,1372.46,Debit Card,Online,Delivered,Mehul,Surat,3,
ORD000015,2023-03-03,C0077,Consumer,East,Bihar,Patna,P003,2,2317.01,10,1865.28,4170.618,4071.73,98.888,200,141.17,Debit Card,Distributor,Delivered,Jay,Chennai,2,
ORD000016,2020-08-01,C0056,Consumer,West,Gujarat,Surat,P012,1,193.75,0,99.38,193.75,225.91,-32.16,120,6.53,Debit Card,Marketplace,Delivered,Priyanka,Jaipur,4,
ORD000017,2023-04-24,C0380,Corporate,West,Maharashtra,Pune,P013,2,317.68,3,169.19,616.2992,467.46,148.8392,120,9.08,COD,Marketplace,Delivered,Asha,Lucknow,2,
ORD000018,2024-03-24,C0549,Consumer,West,Maharashtra,Nagpur,P016,3,10454.13,0,10871.64,31362.39,33267.16,-1904.77,150,502.24,Credit Card,Retail Store,Delivered,Kavita,Pune,2,
ORD000019,2022-05-04,C0643,Small Business,North,Uttar Pradesh,Lucknow,P005,5,893.3,5,500.97,4243.175,3834.34,408.835,1080,249.49,COD,Marketplace,Returned,Sonal,Chennai,4,Late Delivery
ORD000020,2022-05-03,C0109,Consumer,South,Karnataka,Bengaluru,P004,5,16433.68,10,9326.29,73951.56,49558.72,24392.84,450,2477.27,Net Banking,Distributor,Delivered,Kavita,Ahmedabad,1,
ORD000021,2025-12-02,C0311,Consumer,South,Karnataka,Mysuru,P010,1,177.78,0,134.85,177.78,592.01,-414.23,450,7.16,Credit Card,Marketplace,Delivered,Kavita,Gandhinagar,4,
ORD000022,2025-07-31,C0528,Consumer,East,Bihar,Patna,P006,1,5455.84,15,5379.77,4637.464,5709.07,-1071.606,200,129.3,COD,Marketplace,Delivered,Sonal,Hyderabad,3.016895969,
ORD000023,2025-08-09,C0486,Consumer,North,Rajasthan,Udaipur,P012,2,164.23,15,91.97,279.191,391.64,-112.449,200,7.7,COD,Online,Delivered,Ramesh,Mysuru,4,
ORD000024,2024-03-03,C0259,Corporate,South,Karnataka,Mysuru,P010,4,207.95,5,134.44,790.21,1020.39,-230.18,450,32.63,COD,Distributor,Delivered,Nitin,Ahmedabad,3.016895969,
ORD000025,2020-09-14,C0345,Consumer,East,West Bengal,Kolkata,P009,3,20798.24,11,20876.78,55531.3008,65678.07,-10146.7692,300,2747.73,Wallet,Marketplace,Delivered,Jay,Ahmedabad,3,
ORD000026,2020-10-28,C0586,Consumer,South,Karnataka,Mysuru,P007,2,8108.91,22,7629.57,12649.8996,15809.55,-3159.6504,150,400.41,Credit Card,Distributor,Returned,Nitin,Chennai,2,Wrong Product
ORD000027,2020-09-18,C0431,Consumer,South,Tamil Nadu,Chennai,P011,2,346.76,10,249.79,624.168,723.87,-99.702,200,24.29,COD,Distributor,Delivered,Farhan,Bengaluru,1,
ORD000028,2020-07-18,C0584,Consumer,North,Uttar Pradesh,Noida,P015,1,3175.46,35,2439.66,2064.049,2754.66,-690.611,250,65,Credit Card,Marketplace,Delivered,Sonal,Chennai,2,
ORD000029,2022-04-17,C0393,Consumer,North,Delhi,Delhi,P001,1,50939.41,15,39563.26,43298.4985,40848.95,2449.5485,200,1085.69,Credit Card,Online,Delivered,Farhan,Bengaluru,5,
ORD000030,2021-02-09,C0298,Consumer,West,Gujarat,Ahmedabad,P015,4,3793.29,5,2757.83,14414.502,11647.56,2766.942,450,166.24,Credit Card,Online,Delivered,Asha,Pune,5,
ORD000031,2023-10-20,C0656,Home Office,West,Maharashtra,Mumbai,P009,5,24132.21,15,17975.02,102561.8925,92637.37,9924.5225,810,1952.27,Net Banking,Retail Store,Delivered,Kavita,Nagpur,3.016895969,
ORD000032,2021-01-18,C0533,Home Office,East,Odisha,Bhubaneswar,P009,3,20080.97,7,19467.86,56025.9063,61549.33,-5523.4237,200,2945.75,Credit Card,Distributor,Delivered,Farhan,Kolkata,3,
ORD000033,2020-11-12,C0493,Corporate,West,Gujarat,Ahmedabad,P011,1,356.11,7,276.86,331.1823,416.53,-85.3477,120,19.67,Net Banking,Distributor,Delivered,Jay,Pune,4,
ORD000034,2025-09-14,C0369,Consumer,West,Maharashtra,Nagpur,P011,2,349.73,0,247.5,699.46,1135.4,-435.94,600,40.4,Wallet,Online,Delivered,Mehul,Nagpur,3,
ORD000035,2021-05-25,C0395,Consumer,South,Telangana,Hyderabad,P016,5,12357.63,0,10565.57,61788.15,55085.72,6702.43,1080,1177.87,COD,Online,Delivered,Imran,Bengaluru,4,
ORD000036,2023-01-21,C0268,Corporate,West,Maharashtra,Mumbai,P011,1,441.38,3,284.64,428.1386,418.61,9.5286,120,13.97,Net Banking,Distributor,Delivered,Farhan,Pune,2,
ORD000037,2022-12-25,C0659,Consumer,North,Rajasthan,Jaipur,P006,2,6071.12,5,5611.46,11535.128,11878.56,-343.432,200,455.64,Net Banking,Retail Store,Delivered,Sonal,Bengaluru,4,
ORD000038,2023-12-13,C0324,Home Office,North,Rajasthan,Jodhpur,P004,15,11007.57,7,8901.65,153555.6015,140940.02,12615.5815,360,7055.27,Debit Card,Online,Delivered,Kavita,Bengaluru,4,
ORD000039,2022-05-20,C0373,Corporate,West,Gujarat,Ahmedabad,P015,1,3415.47,28,2678.34,2459.1384,2840.31,-381.1716,120,41.97,Credit Card,Marketplace,Delivered,Sonal,Hyderabad,3,
ORD000040,2022-11-19,C0469,Consumer,South,Tamil Nadu,Chennai,P007,4,10445.32,7,8157.7,38856.5904,35212.17,3644.4204,150,2431.37,COD,Online,Delivered,Nitin,Ahmedabad,4,
ORD000041,2023-07-04,C0182,Consumer,South,Telangana,Hyderabad,P006,4,7707.21,7,5745.35,28670.8212,23911.42,4759.4012,200,730.02,Debit Card,Marketplace,Delivered,Imran,Noida,2,
ORD000042,2022-07-01,C0561,Corporate,West,Gujarat,Gandhinagar,P011,4,309.18,3,279.46,1199.6184,1311.37,-111.7516,150,43.53,Wallet,Online,Delivered,Mehul,Noida,5,
ORD000043,2024-07-03,C0547,Small Business,South,Karnataka,Bengaluru,P010,6,248.5,0,123.14,1491,1097.07,393.93,270,88.23,Credit Card,Online,Delivered,Jay,Nagpur,2,
ORD000044,2021-03-30,C0692,Consumer,West,Maharashtra,Mumbai,P008,4,6988.83,3,4328.08,27116.6604,19241.88,7874.7804,300,1629.56,UPI,Distributor,Delivered,Kavita,Surat,5,
ORD000045,2020-02-05,C0649,Consumer,East,Bihar,Patna,P012,4,150.96,18,108.57,495.1488,891.55,-396.4012,450,7.27,COD,Distributor,Delivered,Imran,Nagpur,2,
ORD000046,2021-06-09,C0159,Corporate,North,Delhi,Delhi,P002,1,31811.2,10,21462.43,28630.08,23147.59,5482.49,120,1565.16,Credit Card,Retail Store,Delivered,Nitin,Chennai,1,
ORD000047,2021-04-19,C0358,Home Office,North,Rajasthan,Jodhpur,P008,6,4736.98,7,4446.24,26432.3484,27268.69,-836.3416,144,447.25,Net Banking,Retail Store,In Transit,Asha,Lucknow,5,
ORD000048,2025-04-28,C0117,Corporate,South,Tamil Nadu,Chennai,P013,1,300.87,0,187.7,300.87,395.53,-94.66,200,7.83,UPI,Retail Store,Delivered,Nitin,Gandhinagar,5,
ORD000049,2020-05-16,C0435,Consumer,South,Karnataka,Bengaluru,P004,1,16024.13,12,9644.54,14101.2344,10979.14,3122.0944,600,734.6,UPI,Online,Delivered,Imran,Ahmedabad,3,
ORD000050,2022-09-27,C0398,Small Business,North,Rajasthan,Udaipur,P015,3,2834.93,10,2536.72,7654.311,7938.46,-284.149,120,208.3,UPI,Distributor,Delivered,Priyanka,Chennai,4,
ORD000051,2024-05-11,C0140,Small Business,North,Rajasthan,Udaipur,P013,5,246.21,15,171.63,1046.3925,1148.05,-101.6575,270,19.9,COD,Marketplace,In Transit,Nitin,Ahmedabad,5,
ORD000052,2020-11-26,C0353,Corporate,South,Telangana,Hyderabad,P007,2,9769.48,15,7257.35,16608.116,15621.85,986.266,80,1027.15,Net Banking,Online,Delivered,Jay,Patna,3.016895969,
ORD000053,2020-09-29,C0339,Consumer,West,Gujarat,Gandhinagar,P012,1,172.87,3,107.35,167.6839,263.97,-96.2861,150,6.62,Debit Card,Marketplace,Delivered,Imran,Lucknow,1,
ORD000054,2022-02-01,C0284,Corporate,East,Bihar,Patna,P012,1,142.16,3,97.07,137.8952,254.83,-116.9348,150,7.76,Debit Card,Online,Delivered,Sonal,Mumbai,1,
ORD000055,2025-02-27,C0605,Corporate,North,Delhi,Delhi,P007,8,11589.37,12,7624.27,81589.1648,62991.95,18597.2148,450,1547.79,COD,Online,Cancelled,Farhan,Kolkata,3,
ORD000056,2024-08-19,C0629,Corporate,West,Gujarat,Ahmedabad,P006,4,7253.57,15,5422.13,24662.138,22337.3,2324.838,300,348.78,Credit Card,Online,Delivered,Jay,Chennai,3,
ORD000057,2022-02-06,C0398,Small Business,North,Rajasthan,Udaipur,P016,8,10140.15,28,9415.26,58407.264,77931.05,-19523.786,270,2338.97,COD,Online,Delivered,Nitin,Bengaluru,3,
ORD000058,2023-11-29,C0354,Consumer,West,Maharashtra,Pune,P016,5,14121.72,3,10068.4,68490.342,51873.63,16616.712,270,1261.63,Net Banking,Distributor,Delivered,Sonal,Pune,4,
ORD000059,2022-04-13,C0421,Consumer,East,West Bengal,Kolkata,P001,1,40453.48,26,41048.61,29935.5752,43310.08,-13374.5048,80,2181.47,Credit Card,Marketplace,Delivered,Asha,Ahmedabad,4,
ORD000060,2021-11-29,C0597,Consumer,West,Maharashtra,Nagpur,P006,3,6252.85,7,5785.8,17445.4515,17680.52,-235.0685,120,203.12,COD,Marketplace,Delivered,Imran,Kolkata,5,
ORD000061,2021-04-10,C0545,Small Business,North,Delhi,Delhi,P017,4,569.46,0,275.04,2277.84,1522.57,755.27,300,122.41,Credit Card,Marketplace,Delivered,Farhan,Hyderabad,3,
ORD000062,2020-05-12,C0101,Consumer,West,Gujarat,Ahmedabad,P014,1,9197.41,15,6241.25,7817.7985,6679.02,1138.7785,80,357.77,UPI,Marketplace,Delivered,Kavita,Chennai,3.016895969,
ORD000063,2025-04-20,C0600,Consumer,West,Maharashtra,Mumbai,P009,1,27060.08,5,21244.66,25707.076,22357.07,3350.006,600,512.41,COD,Marketplace,Delivered,Jay,Patna,3,
ORD000064,2025-12-26,C0676,Consumer,North,Rajasthan,Udaipur,P004,4,9999.77,20,9233.89,31999.264,38263.74,-6264.476,150,1178.18,Credit Card,Marketplace,Delivered,Asha,Ahmedabad,4,
ORD000065,2023-04-07,C0394,Consumer,North,Delhi,Delhi,P013,3,334.72,12,193.65,883.6608,850.77,32.8908,250,19.82,COD,Retail Store,Delivered,Asha,Kolkata,2,
ORD000066,2024-05-05,C0089,Corporate,North,Uttar Pradesh,Lucknow,P009,5,20536.88,10,19490.65,92415.96,100804.11,-8388.15,540,2810.86,Credit Card,Retail Store,Delivered,Priyanka,Nagpur,4,
ORD000067,2021-07-17,C0075,Consumer,West,Gujarat,Ahmedabad,P017,1,540.11,12,292.56,475.2968,763.17,-287.8732,450,20.61,Net Banking,Marketplace,Delivered,Asha,Bengaluru,1,
ORD000068,2024-01-20,C0226,Corporate,West,Maharashtra,Pune,P008,5,6327.12,3,4251.64,30686.532,22234.82,8451.712,540,436.62,Net Banking,Distributor,Delivered,Mehul,Udaipur,2,
ORD000069,2024-03-05,C0195,Consumer,South,Tamil Nadu,Chennai,P016,4,11749.95,15,9659.66,39949.83,41391.07,-1441.24,120,2632.43,UPI,Online,Delivered,Priyanka,Chennai,3,
ORD000070,2024-05-25,C0282,Small Business,South,Karnataka,Bengaluru,P016,1,13794.15,0,10670.33,13794.15,11234.83,2559.32,80,484.5,Net Banking,Online,Delivered,Nitin,Pune,4,
ORD000071,2023-05-21,C0104,Consumer,West,Gujarat,Gandhinagar,P011,2,313.17,22,261.01,488.5452,741.41,-252.8648,200,19.39,Debit Card,Marketplace,Delivered,Jay,Lucknow,4,
ORD000072,2024-02-16,C0103,Consumer,East,West Bengal,Kolkata,P009,5,18781.38,10,20535.14,84516.21,107842.18,-23325.97,540,4626.48,Debit Card,Online,Delivered,Farhan,Delhi,1,
ORD000073,2024-05-23,C0645,Corporate,South,Karnataka,Mysuru,P004,2,11094.75,3,10568.23,21523.815,22198.36,-674.545,200,861.9,Debit Card,Distributor,Delivered,Mehul,Pune,3.016895969,
ORD000074,2021-07-11,C0629,Corporate,West,Gujarat,Ahmedabad,P010,2,249.03,5,136.29,473.157,399.53,73.627,120,6.95,Credit Card,Distributor,Returned,Mehul,Noida,3.016895969,Wrong Product
ORD000075,2021-10-07,C0372,Consumer,West,Gujarat,Gandhinagar,P017,12,382.79,10,284.84,4134.132,4297.67,-163.538,810,69.59,COD,Online,Delivered,Ramesh,Hyderabad,4,
ORD000076,2022-04-20,C0087,Consumer,West,Maharashtra,Pune,P013,2,327.8,15,165.96,557.26,666.81,-109.55,300,34.89,COD,Distributor,Returned,Nitin,Hyderabad,4,Late Delivery
ORD000077,2024-02-23,C0647,Consumer,North,Delhi,Delhi,P014,3,8875.22,12,6559.19,23430.5808,20497.97,2932.6108,150,670.4,Credit Card,Distributor,Delivered,Jay,Chennai,4,
ORD000078,2024-04-02,C0307,Consumer,North,Uttar Pradesh,Lucknow,P001,5,46628.07,3,41326.06,226146.1395,219428.69,6717.4495,810,11988.39,UPI,Marketplace,Delivered,Kavita,Bengaluru,5,
ORD000079,2023-09-28,C0292,Small Business,West,Gujarat,Surat,P009,2,22159.65,7,19931.5,41216.949,40649.17,567.779,300,486.17,COD,Online,Delivered,Imran,Surat,1,
ORD000080,2021-06-28,C0093,Corporate,South,Karnataka,Mysuru,P005,1,833.71,5,545.83,792.0245,706.5,85.5245,150,10.67,COD,Marketplace,Delivered,Imran,Ahmedabad,2,
ORD000081,2021-06-09,C0255,Small Business,South,Telangana,Hyderabad,P013,5,295.8,12,177.17,1301.52,1761.03,-459.51,810,65.18,Debit Card,Retail Store,Delivered,Ramesh,Delhi,3.016895969,
ORD000082,2022-11-09,C0204,Consumer,North,Rajasthan,Udaipur,P012,6,142.52,15,102.28,726.852,791.08,-64.228,144,33.4,Wallet,Retail Store,Delivered,Mehul,Chennai,1,
ORD000083,2024-08-03,C0641,Corporate,North,Rajasthan,Udaipur,P002,1,22644.16,3,19503.31,21964.8352,21159.87,804.9652,600,1056.56,Debit Card,Retail Store,Delivered,Jay,Hyderabad,1,
ORD000084,2023-09-28,C0195,Consumer,South,Tamil Nadu,Chennai,P006,3,7463.36,15,5455.65,19031.568,17447.18,1584.388,250,830.23,UPI,Marketplace,Delivered,Imran,Hyderabad,1,
ORD000085,2021-01-25,C0065,Corporate,South,Telangana,Hyderabad,P013,1,303.5,5,171.13,288.325,266.84,21.485,80,15.71,Credit Card,Online,Delivered,Kavita,Jodhpur,1,
ORD000086,2020-07-22,C0674,Consumer,North,Delhi,Delhi,P016,3,13136.01,0,10390.55,39408.03,32607.99,6800.04,120,1316.34,COD,Marketplace,Cancelled,Mehul,Bengaluru,3.016895969,
ORD000087,2021-07-20,C0312,Corporate,East,West Bengal,Kolkata,P003,10,2654.07,3,1901.4,25744.479,21079.52,4664.959,810,1255.52,Wallet,Marketplace,In Transit,Farhan,Bengaluru,1,
ORD000088,2021-01-28,C0162,Consumer,West,Maharashtra,Nagpur,P015,10,3259.61,5,2685.53,30966.295,28459.08,2507.215,360,1243.78,COD,Distributor,Delivered,Mehul,Hyderabad,4,
ORD000089,2021-09-03,C0611,Consumer,West,Maharashtra,Pune,P001,2,52688.39,15,38780.72,89570.263,83707.86,5862.403,250,5896.42,COD,Retail Store,In Transit,Sonal,Chennai,1,
ORD000090,2025-08-13,C0256,Consumer,North,Rajasthan,Jaipur,P008,1,5572.25,0,3874.6,5572.25,4216.16,1356.09,120,221.56,UPI,Marketplace,Delivered,Sonal,Delhi,1,
ORD000091,2021-11-18,C0124,Home Office,South,Karnataka,Bengaluru,P008,4,6908.73,0,4198.11,27634.92,18062.98,9571.94,300,970.54,Credit Card,Online,Delivered,Farhan,Pune,4,
ORD000092,2022-03-05,C0404,Consumer,South,Tamil Nadu,Chennai,P005,1,878.72,0,535.52,878.72,715.44,163.28,150,29.92,Net Banking,Retail Store,Delivered,Nitin,Hyderabad,5,
ORD000093,2025-12-02,C0441,Consumer,North,Delhi,Delhi,P011,4,403.59,3,265.99,1565.9292,1343.77,222.1592,250,29.81,COD,Marketplace,Delivered,Asha,Lucknow,2,
ORD000094,2020-11-29,C0160,Consumer,East,West Bengal,Kolkata,P003,1,2754.52,27,2022.75,2010.7996,2278.36,-267.5604,200,55.61,COD,Marketplace,Delivered,Asha,Bengaluru,3.016895969,
ORD000095,2020-09-06,C0680,Corporate,South,Karnataka,Mysuru,P017,1,417.12,0,279.13,417.12,547.13,-130.01,250,18,UPI,Distributor,Delivered,Farhan,Ahmedabad,2,
ORD000096,2020-07-27,C0497,Consumer,West,Gujarat,Ahmedabad,P003,1,3342.34,3,1717.74,3242.0698,1904.23,1337.8398,150,36.49,Wallet,Distributor,Delivered,Kavita,Bengaluru,5,
ORD000097,2021-09-05,C0031,Corporate,West,Gujarat,Gandhinagar,P009,1,19176.43,7,20275.59,17834.0799,21067.5,-3233.4201,200,591.91,Credit Card,Marketplace,Delivered,Jay,Bhubaneswar,5,
ORD000098,2024-04-14,C0555,Corporate,South,Tamil Nadu,Chennai,P007,6,9683.99,35,7132.47,37767.561,44568.25,-6800.689,270,1503.43,COD,Online,Delivered,Imran,Patna,3,
ORD000099,2024-10-05,C0424,Consumer,West,Maharashtra,Nagpur,P014,2,7434.23,0,6805.54,14868.46,14459.98,408.48,250,598.9,Credit Card,Retail Store,Delivered,Ramesh,Chennai,3,
ORD000100,2023-07-11,C0481,Corporate,North,Rajasthan,Jaipur,P012,1,168.07,5,94.55,159.6665,302.47,-142.8035,200,7.92,Credit Card,Online,In Transit,Imran,Mumbai,4,
ORD000101,2021-08-06,C0253,Corporate,North,Rajasthan,Jaipur,P014,2,7614,7,6277.99,14162.04,13184.68,977.36,80,548.7,UPI,Retail Store,Delivered,Nitin,Hyderabad,5,
ORD000102,2021-05-11,C0646,Consumer,South,Tamil Nadu,Chennai,P002,1,28211.8,0,20143.66,28211.8,21229.7,6982.1,150,936.04,Wallet,Online,Delivered,Imran,Ahmedabad,5,
ORD000103,2020-11-22,C0462,Home Office,North,Rajasthan,Jodhpur,P001,1,40566.72,3,40596.53,39349.7184,41307.16,-1957.4416,120,590.63,UPI,Marketplace,Delivered,Nitin,Bengaluru,5,
ORD000104,2023-12-29,C0344,Consumer,East,Bihar,Patna,P005,1,653.04,10,526.04,587.736,732.69,-144.954,200,6.65,Net Banking,Marketplace,Delivered,Priyanka,Ahmedabad,5,
ORD000105,2024-09-29,C0676,Consumer,North,Rajasthan,Udaipur,P016,2,8899.9,3,10926.41,17265.806,22363.5,-5097.694,300,210.68,COD,Distributor,Delivered,Mehul,Chennai,1,
ORD000106,2025-08-10,C0626,Consumer,West,Maharashtra,Pune,P006,12,6749.78,5,5628.88,76947.492,69758.47,7189.022,216,1995.91,UPI,Distributor,Delivered,Mehul,Jodhpur,5,
ORD000107,2020-05-07,C0586,Consumer,South,Karnataka,Mysuru,P017,15,428.32,3,298.29,6232.056,5376.42,855.636,540,362.07,COD,Marketplace,Delivered,Priyanka,Hyderabad,2,
ORD000108,2025-05-27,C0122,Small Business,South,Karnataka,Bengaluru,P001,2,55380.45,5,41849.4,105222.855,85068.97,20153.885,200,1170.17,Debit Card,Online,Delivered,Jay,Bengaluru,3,
ORD000109,2022-10-01,C0350,Corporate,West,Gujarat,Surat,P013,4,275.46,5,172.74,1046.748,817.55,229.198,80,46.59,Credit Card,Marketplace,Delivered,Nitin,Chennai,3,
ORD000110,2022-08-02,C0534,Consumer,East,Bihar,Patna,P010,3,158.51,5,127.86,451.7535,853.23,-401.4765,450,19.65,COD,Marketplace,Returned,Imran,Udaipur,5,Damaged
ORD000111,2025-06-10,C0033,Consumer,North,Rajasthan,Udaipur,P009,2,18671.85,11,21092.69,33235.893,43507.43,-10271.537,120,1202.05,Net Banking,Retail Store,Delivered,Kavita,Ahmedabad,3,
ORD000112,2024-11-24,C0147,Corporate,South,Telangana,Hyderabad,P004,5,13488.24,5,10182.7,64069.14,52927.79,11141.35,216,1798.29,COD,Distributor,In Transit,Ramesh,Ahmedabad,5,
ORD000113,2025-06-25,C0294,Home Office,West,Maharashtra,Pune,P009,3,24012.44,0,18157.74,72037.32,57472.33,14564.99,300,2699.11,Credit Card,Distributor,Delivered,Asha,Nagpur,2,
ORD000114,2022-11-09,C0052,Consumer,West,Gujarat,Surat,P005,1,923.96,5,502.96,877.762,1140.67,-262.908,600,37.71,Credit Card,Online,Delivered,Priyanka,Bengaluru,5,
ORD000115,2021-07-09,C0467,Consumer,East,West Bengal,Kolkata,P010,4,189.21,15,119.37,643.314,802.2,-158.886,300,24.72,UPI,Marketplace,Delivered,Sonal,Ahmedabad,3,
ORD000116,2020-07-25,C0589,Consumer,South,Karnataka,Bengaluru,P005,2,1016.71,0,551.84,2033.42,1598.27,435.15,450,44.59,Credit Card,Marketplace,Delivered,Farhan,Chennai,1,
ORD000117,2025-11-04,C0446,Consumer,North,Uttar Pradesh,Lucknow,P011,3,294.71,7,295.4,822.2409,1051.38,-229.1391,120,45.18,Debit Card,Marketplace,Delivered,Sonal,Udaipur,5,
ORD000118,2021-08-09,C0507,Consumer,East,Odisha,Bhubaneswar,P002,1,22838.51,0,21544.53,22838.51,22468.25,370.26,250,673.72,Credit Card,Retail Store,Delivered,Mehul,Hyderabad,3,
ORD000119,2024-11-05,C0446,Consumer,North,Uttar Pradesh,Lucknow,P012,20,165.58,15,106.36,2814.86,2304.46,510.4,144,33.26,Debit Card,Online,Delivered,Jay,Patna,1,
ORD000120,2024-08-20,C0392,Corporate,South,Karnataka,Mysuru,P013,2,244.41,5,167.9,464.379,493.97,-29.591,150,8.17,Wallet,Online,Delivered,Imran,Gandhinagar,3.016895969,
ORD000121,2024-02-15,C0141,Corporate,North,Delhi,Delhi,P014,6,9921.38,5,6662.83,56551.866,41784.16,14767.706,540,1267.18,UPI,Marketplace,Delivered,Kavita,Chennai,3.016895969,
ORD000122,2023-11-04,C0039,Consumer,West,Maharashtra,Pune,P016,4,13628.32,10,9490.65,49061.952,39296.15,9765.802,120,1213.55,COD,Distributor,Delivered,Asha,Chennai,1,
ORD000123,2020-12-01,C0481,Corporate,North,Rajasthan,Jaipur,P011,2,335.4,18,248.84,550.056,605.49,-55.434,80,27.81,Credit Card,Online,Delivered,Jay,Bhubaneswar,3.016895969,
ORD000124,2022-01-25,C0285,Consumer,West,Maharashtra,Pune,P009,1,22738.79,0,17987.73,22738.79,19433.58,3305.21,300,1145.85,Wallet,Retail Store,Delivered,Priyanka,Nagpur,2,
ORD000125,2020-03-22,C0149,Consumer,South,Telangana,Hyderabad,P005,5,1022.55,10,562.71,4601.475,3418.56,1182.915,540,65.01,UPI,Retail Store,Delivered,Priyanka,Ahmedabad,4,
ORD000126,2023-12-02,C0240,Home Office,South,Tamil Nadu,Chennai,P013,4,301.67,3,176.28,1170.4796,803.06,367.4196,80,17.94,Wallet,Distributor,Delivered,Farhan,Patna,5,
ORD000127,2020-09-12,C0101,Consumer,West,Gujarat,Ahmedabad,P009,3,25418.88,7,20291.96,70918.6752,62982.89,7935.7852,150,1957.01,Wallet,Online,Delivered,Sonal,Ahmedabad,1,
ORD000128,2020-02-10,C0291,Corporate,North,Uttar Pradesh,Noida,P009,1,25831.59,15,20004.44,21956.8515,20494.33,1462.5215,120,369.89,Net Banking,Retail Store,Delivered,Sonal,Jodhpur,3.016895969,
ORD000129,2025-01-01,C0465,Home Office,South,Tamil Nadu,Chennai,P009,5,24809.95,12,18527.15,109163.78,100593.67,8570.11,540,7417.92,Debit Card,Retail Store,Delivered,Priyanka,Nagpur,1,
ORD000130,2024-09-08,C0504,Corporate,South,Karnataka,Mysuru,P004,1,11273.18,10,10532.45,10145.862,11333.28,-1187.418,250,550.83,Credit Card,Online,Delivered,Ramesh,Hyderabad,3.016895969,
ORD000131,2023-07-07,C0004,Consumer,East,Bihar,Patna,P017,4,351.27,20,284.84,1124.064,1313.26,-189.196,120,53.9,Wallet,Distributor,Delivered,Farhan,Bengaluru,1,
ORD000132,2025-05-27,C0349,Home Office,East,West Bengal,Kolkata,P003,6,2393.88,28,1909.61,10341.5616,12490.68,-2149.1184,540,493.02,Credit Card,Online,Cancelled,Kavita,Pune,1,
